年级统计表
满分值,14,年级总人数,28,平均分,9.678571428571429,最高分,14,最低分,0,中位数,11.0
""
班级,班级人数,总平均分
1,28,9.68
""
班级分数段统计,最高分,满分(14),13-4,3--6,-7--16
,14,2,23,3,0
""
年级排序统计,年级前10,11-20,21-30,31-40,41-50,51-60,61-70,71-80,81-90,91-100,年级前60,年级前100
1,10,10,8,0,0,0,0,0,0,0,28,28
年级排序统计2,年级后10,11-20,21-30,31-40,41-50,51-60,61-70,71-80,81-90,91-100,年级后60,年级后100
1,10,10,8,0,0,0,0,0,0,0,28,28
